// 数据使用http://ai.uremy.world格式化导出
// 出处 https://github.com/zcyzcy88/TagTable
// 视角与画面部分整合自https://aitag.top/

#图片质量
highres, 高分辨率
nosebleed, 鼻血
lips, 嘴唇
clenched_teeth, 咬牙
open_mouth, 张口
pout, 努嘴
sigh, 叹气
smile, 微笑
grin, 露齿而笑
stare, 凝视
angry, 生气的
annoyed, 苦恼的
crazy, 疯狂的
shy, 害羞的
embarrassed, 尴尬的
blush, 脸红的
sleepy, 困乏的
sad, 悲伤的
drunk, 喝醉的
dark_persona, 黑化的
frown, 皱眉/蹙额
expressionless, 无表情的
rolleyes, 眼球上翻
ahegao, 做爱时很痴的表情
fucked_silly, 做爱时很痴的表情
naughty_face, 下流的表情
endured_face, 忍耐的表情
looking_at_viewer, 看着你

#发型
ahoge, 呆毛
bangs, 刘海
blunt_bangs, 齐刘海
curly_hair, 卷发
drill_hair, 钻头卷/公主卷
hair_bun, 包子头
double_bun, 包子头(两个)
ponytail, 马尾
short_ponytail, 短马尾
side_ponytail, 侧马尾
twintails, 双马尾
messy_hair, 凌乱发型
hime_cut, 姬发式
braid, 辫子
twin_braids, 双辫子
payot, 长鬓角
wavy_hair, 波浪发型
short_hair, 短发
long_hair, 长发
very_long_hair, 很长的头发

#瞳色
purple_eyes, 紫眼
brown_eyes, 棕眼
yellow_eyes, 金眼
silver_eyes, 银眼
grey_eyes, 灰眼
white_eyes, 白眼
black_eyes, 黑眼
red_eyes, 红眼
blue_eyes, 蓝眼
green_eyes, 绿眼

#发色
blonde_hair, 金发
silver_hair, 银发
grey_hair, 灰发
white_hair, 白发
brown_hair, 棕发
black_hair, 黑发
purple_hair, 紫发
red_hair, 红发
blue_hair, 蓝发
green_hair, 绿发

#眼睛
eyes_closed, 闭眼
wink, 眨眼
blinking, 眨眼
wince, 闭一只眼
slit_pupils, 竖的瞳孔/猫眼
heterochromia, 异色瞳
heart-shaped_pupils, 爱心形瞳孔
aqua_eyes, 水汪汪的眼睛
tsurime, 吊眼角
tears, 眼泪

#耳朵
animal_ears, 动物耳朵
fox_ears, 狐狸耳朵
bunny_ears, 兔耳
cat_ears, 猫耳
dog_ears, 狗耳
mouse_ears, 老鼠耳朵
pointy_ears, 尖耳

#脸
no_nose, 没鼻子的
fangs, 尖牙
tongue, 舌头
saliva, 唾液
armpit, 腋
facial_hair, 男性脸部胡须

#胸部
collarbone, 锁骨
muscle, 肌肉
chest, 胸肌
breasts, 胸部
flat_chest, 贫乳(A
small_breasts, 小胸部(B
medium_breasts, 中等胸部(C
large_breasts, 大胸部(D
huge_breasts, 巨乳(E
gigantic_breasts, 魔乳(F

#翅膀
wings, 翅膀/翼
bat_wings, 蝙蝠翅膀
butterfly_wings, 蝴蝶翅膀
black_wings, 黑色之翼
demon_wings, 恶魔之翼

#身体/腿
midriff, 腹部
navel, 肚脐
hips, 臀部
thigh_gap, 股沟
tail, 尾巴
thighs, 大腿
thick_thighs, 粗腿
kneepits, 膝盖内侧
foot, 脚
toes, 脚趾
tan_lines, 晒日线
curvy, 魔鬼身材
skinny, 骨感
plump, 肥胖
pregnant, 怀孕

#人物姿势动作状态
v, 胜利手势
thumbs_up, 翘大拇指
middle_finger, 比出中指
cat_pose, 猫爪手势
finger_gun, 手枪手势
shushing, 嘘手势
holding, 拿着
waving, 招手
salute, 敬礼
stretch, 伸懒腰
arms_up, 抬手
spread_arms, 张手
hand_to_mouth, 手放在嘴边
hair_pull, 拉头发
armpits, 举手露腋
curtsy, 屈膝礼
fingersmile, 用手指做出笑脸
chin_rest, 手撑着头
arm_support, 用手支撑住
arms_behind_back, 手放在身后
arms_crossed, 手交叉于胸前
hand_on_hip, 单手插腰
hands_on_hips, 双手叉腰
adjusting_thighhigh, 调整过膝袜
caramelldansen, 某著名伸手扭腰动作
holding_hands, 牵手
crossed_legs, 二郎腿
fetal_position, 曲腿至胸
leg_lift, 抬一只脚
legs_up, 抬两只脚
spread_legs, 张腿
princess_carry, 公主抱
fighting_stance, 战斗姿态
upside-down, 颠倒的
looking_back, 向后看
lying, 躺着
on_stomach, 趴着
squatting, 蹲下
straddle, 跨坐
kneeling, 下跪
top-down_bottom-up, 趴着翘臀
bent_over, 翘臀姿势
all_fours, 四肢趴地
arched_back, 弓身体
sitting, 坐着
seiza, 正坐
wariza, 割坐
w-sitting, 割坐
yokozuwari, 侧身坐
indian_style, 盘腿
leg_hug, 抱腿
leaning_forward, 身体前驱
back-to-back, 背对背
symmetrical_docking, 胸对胸
symmetrical_hand_pose, 手对手
eye_contact, 眼对眼（对视）
hug, 拥抱
lap_pillow, 膝枕
sleeping, 睡觉
bathing, 洗澡
wet, 湿身
sweat, 流汗
mimikaki, 掏耳勺
standing, 站立

#服装风格
gothic, 哥特风格
lolita_fashion, 洛丽塔风格
gothic_lolita, 哥特洛丽塔风格
western, 西部风格
zettai_ryouiki, 绝对领域
naked, 裸体的
nude, 裸体的
naked_apron, 裸体围裙
naked_overalls, 裸体工作服
naked_cape, 裸体披风
naked_shirt, 裸体衬衫
naked_ribbon, 裸体丝带
tartan, 格子花纹
tattoo, 纹身
facepaint, 面纹
off_shoulder, 露单肩
bare_shoulders, 露双肩
cleavage, 乳沟
no_bra, 无胸罩
mouth_hold, 嘴咬住
topless, 上着较少
bottomless, 下着较少
open_clothes, 敞开衣服
open_robe, 敞开长袍
skirt_lift, 掀起裙子
undressing, 脱衣服中
panty_pull, 内裤拉下来
pantyshot, 内裤走光
maebari, 阴贴/乳贴
pasties, 阴贴/乳贴
barefoot, 赤脚
bare_legs, 裸足
striped, 横条花纹的
polka_dot, 点装花纹的
frills, 皱边的

#服装
torn_clothes, 破烂衣服
see-through, 透明装
santa, 圣诞装
detached_sleeves, 袖肩分离装
long_sleeves, 长袖
tank_top, 女用背心
cape, 披肩/斗篷/披风
robe, 长袍
wedding_dress, 婚纱
bodysuit, 紧身衣
bodystocking, 连紧衣
underwear, 内衣
lingerie, 女用贴身内衣裤
camisole, 吊带背心
midriff, 露腰上衣
pajamas, 睡衣
babydoll, 透明睡衣
hoodie, 卫衣
hooded cardigan, 连帽开衫
hooded jacket, 连帽外套
japanese_clothes, 和服
yukata, 浴衣
chinese_clothes, 唐装
chinadress, 旗袍
beach_shorts, 沙滩裤
bikini, 比基尼
side-tie_bikini, 系带式比基尼
serafuku, 水手服
swimsuit, 泳装
formal, 晚礼服
uniform, 制服
suit, 西装
business_suit, 职场制服
school_uniform, 学校制服
school_swimsuit, 学校泳衣
gym_uniform, 运动服
sarashi, 缠胸布
bustier, 胸衣
chemise, 吊带胸衣
bra, 胸罩
latex, 乳贴
bandaid, 创可贴
corset, 紧身褡
apron, 围裙
belt, 腰带
obi, 衣带(和服用)
skirt, 裙子
dress, 连衣裙
pleated_skirt, 百褶裙
miniskirt, 迷你裙
summer_dress, 夏日长裙
bloomers, 灯笼裤
shorts, 短裤
bike_shorts, 自行车短裤
panties, 内裤
no_panties, 没内裤
trefoil, 三角裤给你看
white_panties, 白色内裤
pink_panties, 粉红内裤
striped_panties, 条纹内裤
lowleg_panties, 低腰式内裤
low_leg_panties, 低腰式内裤
side-tie_panties, 系带式内裤
himopan, 系带式内裤
thong, 丁字裤
fundoshi, 日式丁字裤
condom, 套套
butt_plug, 添加的尾巴
diaper, 尿布

#头饰
horns, 兽角
halo, 头顶光环
tokin_hat, 东金帽子
mini_top_hat, 迷你礼帽
beret, 贝雷帽
hood, 兜帽
nurse_cap, 护士帽
tiara, 三重冕
crown, 皇冠
hairband, 发卡
hairclip, 发夹
hair_ribbon, 发带
hair_flower, 发花
hair_ornament, 头饰
bowtie, 蝴蝶结
hair_bow, 蝴蝶结发饰
maid_headdress, 女仆头饰
bow, 服装饰品/头部饰品

#装饰
lace, 花边
ribbon, 丝带
bandage, 绷带
glasses, 眼镜
sunglasses, 太阳镜
goggles, 风镜
blindfold, 眼罩
eyepatch, 眼罩(独眼)
mask, 面具/眼罩/口罩
earrings, 耳环
jewelry, 首饰
collar, 项圈
bell, 铃铛
choker, 颈部饰品
sailor_collar, 水手领
ribbon_choker, 颈带
necklace, 项链
scarf, 围巾
necktie, 领带
tie, 领带
armband, 臂章
armlet, 臂环
wristband, 腕带
chains, 锁链
wrist_cuffs, 腕饰
gloves, 手套
elbow_gloves, 长袖手套
fingerless_gloves, 露指手套
cuffs, 手链/手铐
shackles, 手链/手铐
handcuffs, 手铐
bracelet, 手镯
cane, 手杖

#鞋袜
garter_straps, 袜带
garters, 吊带袜
garter_belt, 连腰吊带袜
socks, 短袜
striped_socks, 横条袜
loose_socks, 泡泡袜
legwear, 裹腿
leggings, 裤袜
fishnets, 网袜
kneehighs, 长袜
stockings, 丝袜
fishnet_stockings, 渔网袜
pantyhose, 连裤袜
fishnet_pantyhose, 渔网袜
thighhighs, 过膝袜
striped_thighhighs, 条纹过膝袜
white_thighhighs, 白色过膝袜
black_thighhighs, 黑色过膝袜
pink_thighhighs, 粉色过膝袜
torn_thighhighs, 损坏了的过膝袜
tabi, 日式厚底短袜
leg_garter, 腿部花边环
ankle_lace-up, 腿部系带
cross-laced_footwear, 系带靴
high_heels, 高跟鞋
mary_janes, 玛丽珍鞋
uwabaki, 女式学生鞋
slippers, 拖鞋
boots, 靴子
knee_boots, 马靴

#物品
camera, 相机
chopsticks, 筷子
microphone, 麦克风
weapons, 武器
dagger, 匕首/短剑
sword, 刀
scythe, 镰刀
whip, 鞭
riding_crop, 马鞭
gun, 枪
handgun, 手枪
wand, 魔杖
arrow, 箭
umbrella, 伞
gohei, 御币
ofuda, 札符
yin_yang, 阴阳
lantern, 灯笼
lamp, 灯笼
teacup, 茶杯
cigarette, 香烟
cake, 蛋糕
taiyaki, 鲷鱼烧
wine, 葡萄酒
cream, 奶油
ice_cream, 冰激凌
sake, 日本酒
guitar, 吉他
piano, 钢琴
obento, 便当
chair, 椅子
mimikaki, 掏耳勺

#背景
building, 建筑
ruins, 废墟/遗迹
cherry_blossoms, 樱花
flower_petals, 花瓣
nature, 自然
torii, 鸟居
forest, 森林/树
river, 河流
ocean, 大海
beach, 沙滩
sunset, 落日
starry sky, 星空
outdoors, 户外
indoors, 室内
onsen, 温泉
lake, 湖泊
mountain, 山脉
full_moon, 满月
pentagram, 五角星
magic_circle, 魔法阵
valentine, 情人节
halloween, 万圣节
christmas, 圣诞节
landscape, 风景
scenery, 风景
cityscape, 城市风景
science_fiction, 科技幻想
greco-roman architecture, 西罗马建筑
gothic architecture, 哥特式建筑
east asian architecture, 东亚建筑

#R-18 1
69, 69式
hairjob, 发交
oral, 口交
fellatio, 口交
deepthroat, 深喉
gokkun, 吃精
gag, 口塞
ballgag, 球塞
bitgag, 棍塞
ring_gag, 扩口器
cleave_gag, 用布勒住嘴
panty_gag, 用内裤塞口
tapegag, 胶带封口
facial, 颜射
handjob, 用手做
thigh_sex, 腿交
footjob, 足交
clothed_masturbation, 隔着衣服自慰
masturbation, 自慰
female_ejaculation, 潮吹
grinding, 性器摩擦
sex, 性爱
clothed_sex, 穿着衣服做爱
happy_sex, 快乐做爱
underwater_sex, 水中做爱
spitroast, 前后夹攻
cock_in_thighhigh, 插在过膝袜里
doggystyle, 狗爬式
leg_lock, 跨坐式
upright_straddle, 跨坐式
missionary, 传教士体位
girl_on_top, 女上体位
cowgirl_position, 女上正骑
reverse_cowgirl, 女上反骑
virgin, 处女/破瓜

#R-8 2
areolae, 乳晕
nipples, 乳头
puffy_nipples, 大乳头
small_nipples, 小乳头
nipple_pull, 啦乳头
nipple_torture, 虐乳头
nipple_tweak, 捏乳头
nipple_piercing, 乳头穿孔
breast_grab, 摸乳
lactation, 哺乳（大范围）
breast_sucking, 吸乳（中）
nipple_suck, 吸乳（中）
breast_feeding, 喂奶(小)
paizuri, 乳交
multiple_paizuri, 多P乳交
breast_smother, 把头塞入胸

#R-18 3
tentacle, 触手
leash, 宠物链
groping, 摸索
piercing, 穿孔
navel_piercing, 肚脐穿孔
mound_of_venus, 腹部三角带
wide_hips, 宽盆骨
penis, 阳具/屌
testicles, 睾丸/蛋蛋
ejaculation, 射出
cum, 射精
cum_inside, 内射
cum_on_breast, 射在胸上
cum_on_hair, 射在头发上
cum_on_food, 射在食物上
tamakeri, 蛋疼
pussy, 阴户（前者图片远大于后者）
vaginal, 阴户（前者图片远大于后者）
pubic_hair, 阴毛
shaved_pussy, 剃过阴毛的（无毛B）
no_pussy, 没逼的
clitoris, 阴蒂
fat_mons, 肥逼
cameltoe, 骆驼脚趾逼（俗称馒头逼）
pussy_juice, 爱液
crotch_rub, 胯部摩擦
facesitting, 坐在脸上
cervix, 子宫口
cunnilingus, 舔阴

#R-18 4
insertion, 插入物
anal_insertion, 菊花插入物
fruit_insertion, 用水果蔬菜
large_insertion, 巨大插入
penetration, 异物插入
fisting, 拳头插入
fingering, 手插入
multiple_insertions, 一穴多插
double_penetration, 双穴同插
triple_penetration, 三穴同插
double_vaginal, 双重入穴
peeing, 尿尿
have_to_pee, 憋尿
ass, 屁股
huge_ass, 大屁股
spread_ass, 用手张开屁股
buttjob, 臀交
spanked, 打屁股
anus, 菊花
anal, 爆菊
double_anal, 双重爆菊
anal_fingering, 手爆菊
anal_fisting, 拳爆菊
anilingus, 肛吻
enema, 灌肠
stomach_bulge, 肚子胀
x-ray, 透视人体内部
cross-section, 透视人体内部
internal_cumshot, 透视人体内部
wakamezake, 酒倒在阴部

#R-18 5
public, 公共场所
humiliation, 羞耻play
bra_lift, 胸罩拉到胸上方
panties_around_one_leg, 内裤挂在一条腿上
caught, 被发现
walk-in, 进门被发现
body_writing, 身上有字
tally, 在身上计数
futanari, 双性
incest, 乱伦
twincest, 兄弟/姐妹/姐弟/兄妹
pegging, 女性使用假屌
femdom, 女奸男（逆推）
ganguro, 日本黑妹
bestiality, 人兽
gangbang, 轮奸
hreesome, 3P
group_sex, 群P（多男x一女/性交派队/多女x1男）
orgy, 群P（多男x一女/性交派队/多女x1男）
teamwork, 群P（多男x一女/性交派队/多女x1男）
tribadism, 磨豆腐
molestation, 性骚扰
voyeurism, 窥阴癖
exhibitionism, 裸露癖
rape, 强暴
about_to_be_raped, 将要被强暴
slave, 奴隶
shibari, 捆绑
bondage, 捆绑/奴役
bdsm, 绑缚与调教/支配与臣服/施虐与受虐
pillory, 枷锁
stocks, 枷锁
rope, 绳子
bound_arms, 手臂捆绑
bound_wrists, 手腕捆绑
crotch_rope, 胯下捆绑
hogtie, 曲膝捆绑
frogtie, 青蛙捆绑
suspension, 悬空捆绑
spreader_bar, 分腿捆绑
wooden_horse, 木马
anal_beads, 肛珠
dildo, 人造阴茎
cock_ring, 屌环
egg_vibrator, 跳蛋
artificial_vagina, 人工阴道
hitachi_magic_wand, 按摩棒
double_dildo, 双头龙
vibrator, 带振动的自慰器
vibrator_in_thighhighs, 震动开关在过膝袜里
nyotaimori, 女体盛
vore, 吃人
amputee, 截肢
transformation, 肉体变形
mind_control, 思想操控
censored, 审核过的/有码
uncensored, 未审核的/无码
asian, 亚洲
faceless_male, 无脸男
blood, 血
